participant.code,response,round_no,discussion_grp,forced_response,participant.scenario,participant.anticonformist,participant.group_size,neighbors_response,participant.treatment,participant.beta,neighbors,neighbors_1,neighbors_std,correct_conformity,correct_anticonformity,treatment_resemblance,correct_response_given_treatment
60w3o5nq,-1.0,0,,,s2_n,1,N08,,Anticonformist,0.5,,,None,,,Unknown,incorrect
60w3o5nq,-1.0,1,"['o33shhic', 'okdapvou', 'fuvncn2j']",0.0,s2_n,1,N08,"[1.0, 0.0, -1.0]",Anticonformist,0.5,"1,0,-1","1,0,-1","-1,0,1",None,None,None,None
60w3o5nq,1.0,2,"['rg1i9b6i', 'u0oh5ww3', 'fuvncn2j']",0.0,s2_n,1,N08,"[1.0, -1.0, 0.0]",Anticonformist,0.5,"1,-1,0","1,-1,0","-1,0,1",None,None,None,None
60w3o5nq,0.0,3,"['o33shhic', 'okdapvou', 'rg1i9b6i']",0.0,s2_n,1,N08,"[1.0, 0.0, 0.0]",Anticonformist,0.5,"1,0,0","1,0,0","0,0,1",0,['-1'],conformity,incorrect
60w3o5nq,-1.0,4,"['rg1i9b6i', 'u0oh5ww3', 'fuvncn2j']",0.0,s2_n,1,N08,"[1.0, -1.0, -1.0]",Anticonformist,0.5,"1,-1,-1","1,-1,-1","-1,-1,1",-1,['0'],conformity,incorrect
60w3o5nq,-1.0,5,"['rg1i9b6i', '9mdbdt4y', 'w2j0qzso']",0.0,s2_n,1,N08,"[1.0, 1.0, -1.0]",Anticonformist,0.5,"1,1,-1","1,1,-1","-1,1,1",1,['0'],Unknown,incorrect
60w3o5nq,0.0,6,"['9mdbdt4y', 'o33shhic', 'fuvncn2j']",0.0,s2_n,1,N08,"[-1.0, 0.0, 0.0]",Anticonformist,0.5,"-1,0,0","-1,0,0","-1,0,0",0,['1'],conformity,incorrect
60w3o5nq,0.0,7,"['9mdbdt4y', 'okdapvou', 'fuvncn2j']",0.0,s2_n,1,N08,"[-1.0, 0.0, 1.0]",Anticonformist,0.5,"-1,0,1","-1,0,1","-1,0,1",None,None,None,None
60w3o5nq,-1.0,8,"['okdapvou', 'rg1i9b6i', 'u0oh5ww3']",0.0,s2_n,1,N08,"[0.0, 1.0, -1.0]",Anticonformist,0.5,"0,1,-1","0,1,-1","-1,0,1",None,None,None,None
60w3o5nq,0.0,9,"['fuvncn2j', 'w2j0qzso', 'u0oh5ww3']",0.0,s2_n,1,N08,"[-1.0, -1.0, 1.0]",Anticonformist,0.5,"-1,-1,1","-1,-1,1","-1,-1,1",-1,['0'],anticonformity,correct
60w3o5nq,1.0,10,"['fuvncn2j', 'w2j0qzso', 'u0oh5ww3']",0.0,s2_n,1,N08,"[-1.0, -1.0, 0.0]",Anticonformist,0.5,"-1,-1,0","-1,-1,0","-1,-1,0",-1,['1'],anticonformity,correct
60w3o5nq,0.0,11,"['o33shhic', 'rg1i9b6i', 'u0oh5ww3']",0.0,s2_n,1,N08,"[1.0, -1.0, 0.0]",Anticonformist,0.5,"1,-1,0","1,-1,0","-1,0,1",None,None,None,None
60w3o5nq,0.0,12,"['9mdbdt4y', 'okdapvou', 'fuvncn2j']",0.0,s2_n,1,N08,"[0.0, 0.0, -1.0]",Anticonformist,0.5,"0,0,-1","0,0,-1","-1,0,0",0,['1'],conformity,incorrect
